code,latitude,longitude,N,size,N_min,N_max
CGRMCAZ,32.872,-111.74,,15.0,0.032,1.29
CHACONY,42.255,-79.504,0.0,2.0,0.032,14.433
CHAHOLD,18.34,-64.927,0.0,2.0,0.032,7.033
CHANRAZ,33.297,-111.875,,15.0,0.033,0.467
CHARLSC,32.845,-80.014,0.452,2.0,0.032,237.677
CHASEKS,38.368,-96.539,106.968,6.0,16.433,130.767
CHATHGA,32.067,-81.169,0.0,2.0,0.032,0.033
CHAVENM,33.352,-104.504,3.097,2.0,0.032,4.9
CHELAWA,47.422,-120.315,0.0,2.0,0.033,6.645
CHEMUNY,42.091,-76.801,0.0,2.0,0.033,0.033
CHENANY,42.531,-75.524,0.0,2.0,0.065,0.065
CHEROOK,35.914,-94.973,0.0,2.0,0.032,0.032
CHFLDVA,37.379,-77.508,0.0,2.0,0.065,0.161
CHIHMIA,41.269,-95.839,,15.0,0.067,0.067
CHIHOLD,41.975,-87.89,2.742,2.0,0.032,29.167
CHIPPMI,46.497,-84.346,37.548,3.5,2.233,54.742
CHISLTX,31.336,-94.742,,15.0,0.032,0.29
CHLHOLD,32.846,-80.02,8.419,2.0,0.032,21.967
CHMCINY,40.759,-73.191,0.032,2.0,0.032,0.194
CHMHOLD,45.007,-73.456,0.484,2.0,0.032,1.8
CHPHOVA,37.514,-77.526,,15.0,0.032,0.355
CHRISKY,36.868,-87.49,122.774,6.0,1.433,122.774
CHRISMO,37.02,-93.205,0.0,2.0,0.032,31.7
CHRLTFL,26.915,-82.007,0.0,2.0,0.032,1.71
CHSPKVA,36.719,-76.25,1.065,2.0,0.467,4.8
CHSRHTX,32.87,-96.942,,15.0,0.033,0.29
CHTHMGA,32.067,-81.169,0.774,2.0,0.323,0.774
CHYHOLD,41.137,-104.82,0.0,2.0,0.032,1.633
CIBOCNM,35.18,-107.907,227.871,6.0,5.032,692.9
CIBOGNM,35.162,-107.827,,15.0,0.033,0.226
CIBOLNM,35.18,-107.907,0.516,2.0,0.032,44.742
CINHOLD,39.238,-84.38,0.065,2.0,0.032,0.214
CIPHOLD,40.759,-73.191,1.968,2.0,0.032,19.3
CISAETX,31.762,-106.485,0.0,2.0,4.5,4.5
CISEPTX,31.762,-106.485,0.0,2.0,2.645,136.677
CISPVLA,31.322,-92.434,0.0,2.0,0.581,0.581
CITRUFL,28.845,-82.477,0.0,2.0,0.032,0.067
CKHOSFL,25.731,-80.386,,15.0,0.1,4.935
CLARIPA,41.238,-79.423,0.0,2.0,0.129,0.129
CLARKIN,38.278,-85.738,95.968,3.5,36.833,95.968
CLARKWA,45.63,-122.679,0.0,2.0,0.033,0.033
CLAYCIN,39.524,-87.119,271.226,6.0,3.71,309.226
CLEHOLD,41.505,-81.692,0.065,2.0,0.032,1.179
CLICONY,44.721,-73.467,4.129,2.0,0.167,30.387
CLINTIN,40.279,-86.509,28.645,3.5,3.613,34.667
CLINTPA,41.151,-77.35,99.677,3.5,7.871,178.645
CLMHOLD,39.962,-83.002,0.065,2.0,0.032,2.071
CLTHOLD,35.223,-80.837,36.323,3.5,0.032,36.467
CMDHOLD,42.998,-78.185,0.0,2.0,0.032,0.129
CMEDHPR,18.392,-66.075,,15.0,0.032,0.4
CMPJVNY,42.913,-78.868,0.0,2.0,0.032,0.7
CNGHOLD,35.106,-85.299,4.065,2.0,0.097,4.774
CNTGRIL,42.276,-88.401,,15.0,0.233,0.267
CNTRHWA,47.406,-120.321,,15.0,0.032,0.032
