detention_facility_code,name,state,start,end,place,type
RAPPSVA,Rapp Sec Center,VA,4,197,"Stafford, VA",Federal
BOPRBK,Ray Brook Fed.Corr.Inst.,NY,107,108,"Ray Brook, NY",Federal
RDRVHTX,Red River Hospital,TX,148,197,"Wichita Falls, TX",Medical
RRFINWA,Red Roof Inn,WA,4,135,"Seatac, WA",Hotel
REDHOLD,Redding Hold Room,CA,126,197,"Redding, CA",Hold
REJUVTX,Reeves Co. Juv. Det. Ctr.,TX,33,138,"Pecos, TX",Non-dedicated
REDETTX,Reeves County Det. Center,TX,0,160,"Pecos, TX",Non-dedicated
REJAITX,Reeves County Jail,TX,0,38,"Pecos, TX",Non-dedicated
RENHOLD,Reno Hold Room,NV,38,197,"Reno, NV",Hold
RENSSNY,Rensselaer Co Sheriff,NY,110,167,"Troy, NY",Federal
RESIDTX,Residence Inn Dallas Ap,TX,150,153,"Irving, TX",Hotel
RIHPRRI,Rhode Island Hospital,RI,182,183,"Providence, RI",Medical
RICECKS,Rice County Det Center,KS,0,61,"Lyons, KS",Non-dedicated
RICHOLD,Richland Hold Room,WA,154,197,"Richland, WA",Hold
RICHMVA,Richmond City Jail,VA,11,155,"Richmond, VA",Non-dedicated
RCMHOLD,Richmond Sub-Office Hold,VA,17,197,"Richmond, VA",Hold
RWCCMLA,Richwood Cor Center,LA,126,197,"Monroe, LA",Dedicated
RIOCCCA,Rio Cosumnes Corrections-RCCC,CA,57,117,"Elk Grove, CA",Non-dedicated
RIOGRCO,Rio Grande County Jail,CO,99,157,"Del Norte, CO",Non-dedicated
RGRNDTX,Rio Grande Detention Center,TX,63,197,"Laredo, TX",Federal
RGHOSTX,Rio Grande St.Hospital,TX,64,185,"Harlingen, TX",Medical
RGS,Rio Grande Valley Staging,TX,20,197,"Los Fresnos, TX",Hold
RVBHHTX,Rio Vista Behv Hlth Hsp,TX,140,181,"El Paso, TX",Medical
RVRCCLA,River Correctional Center,LA,124,197,"Ferriday, LA",Dedicated
REHOSIL,Riveredge Hospital,IL,0,83,"Forest Park, IL",Medical
RIVERCA,Riverside County Sheriff,CA,12,157,"Riverside, CA",Non-dedicated
RSREGVA,Riverside Reg Jail,VA,0,156,"Hopewell, VA",Federal
RONKEVA,Roanoke City Jail,VA,1,197,"Roanoke, VA",Federal
ROANOVA,Roanoke County Jail,VA,21,127,"Salem, VA",Non-dedicated
RMKHOLD,Roanoke Sub-Office Hold Room,VA,118,197,"Salem, VA",Hold
RADDFGA,Robert A Deyton Detention Fac,GA,118,197,"Lovejoy, GA",Federal
ROBERSD,"Roberts Co. Jail, SD",SD,39,160,"Sisseton, SD",Non-dedicated
BOPRCH,Rochester Fed.Med.Center,MN,0,13,"Rochester, MN",Federal
ROCGHNY,Rochester General Hospital,NY,185,186,"Rochester, NY",Medical
RCKISIL,Rock Island Correctional Center,IL,63,64,"Rock Island, IL",Federal
ROCKIIL,Rock Island County Jail,IL,0,155,"Rock Island, IL",Federal
RIIHOLD,Rock Island Hold Room,IL,32,197,"Rock Island, IL",Hold
RRIVRIL,Rock River Health Care,IL,97,101,"Rockford, IL",Medical
ROCKIVA,Rockingham Co. Jail,VA,0,197,"Harrisonburg, VA",Federal
ROCKINH,Rockingham County Jail,NH,0,115,"Brentwood, NH",Non-dedicated
HASKLTX,Rolling Plains Detention Center,TX,0,196,"Haskell, TX",Federal
ROSEAMN,Roseau County Jail,MN,4,9,"Roseau, MN",Non-dedicated
ROSEBMT,Rosebud County Jail,MT,0,30,"Forsyth, MT",Non-dedicated
RSWHOLD,Roswell Hold Room,NM,110,197,"Roswell, NM",Hold
ROUTTCO,Routt County Jail,CO,18,19,"Steamboat Springs, CO",Non-dedicated
SDPROCA,S.D. County Probation,CA,35,168,"San Diego, CA",Other
CACCJAM,SCC/Jamestown,CA,66,92,"Jamestown, CA",Other
SFRHOLD,SFR Hold Room,CA,0,197,"San Francisco, CA",Hold
SNDHOLD,SND District Staging,CA,0,197,"San Diego, CA",Hold
SNJHOLD,SNJ Hold Room,CA,1,195,"San Jose, CA",Hold
SACRACA,Sacramento County Jail,CA,0,124,"Sacramento, CA",Federal
SACHOLD,Sacramento Hold,CA,0,197,"Sacramento, CA",Hold
STAHOLD,Saint Albans Hold Room,VT,61,197,"Saint Albans, VT",Hold
STJOSCO,Saint Joseph Hospital,CO,188,197,"Denver, CO",Medical
SAIHOLD,Saipain Hold,MP,26,197,"Saipan, MP",Hold
MPSIPAN,Saipan Department Of Corrections,MP,32,197,"Saipan, MP",Federal
SALEMNJ,Salem County Correctional Facility,NJ,85,138,"Woodstown, NJ",Federal
SALINNE,Saline County Jail,NE,119,174,"Wilber, NE",Other
SALHOLD,Salisbury Hold Room,MD,131,197,"Salisbury, MD",Hold
SLCHOLD,Salt Lake City Hold Room,UT,45,197,"West Valley City, UT",Hold
SLSLCUT,Salt Lake County Jail,UT,0,197,"Salt Lake City, UT",Federal
SAMBCMI,Samaritan Behavioral Center,MI,53,162,"Detroit, MI",Medical
SAGHOLD,San Angelo Holdroom,TX,86,197,"San Angelo, TX",Hold
SNAHOLD,San Antonio Dro Hold Room,TX,17,197,"San Antonio, TX",Hold
SBNTOTX,San Benito Police Dept.,TX,65,67,"San Benito, TX",Other
SBDHOLD,San Bernadino Hold Room,CA,0,197,"San Bernardino, CA",Hold
SBERNCA,San Bernardino Co. Jail,CA,0,164,"San Bernardino, CA",Federal
SDHOSCA,San Diego Area Hospital,CA,0,95,"Chula Vista, CA",Medical
SNDCOCA,San Diego County Jail,CA,1,116,"San Diego, CA",Non-dedicated
JHALLCA,San Diego County Juv.Hall,CA,42,44,"San Diego, CA",Family / Children
BOPSDC,San Diego MCC,CA,32,104,"San Diego, CA",Federal
SJUHOLD,San Juan Airport Hold Room,PR,79,197,"San Juan, PR",Hold
SJUANNM,San Juan County Detention Center,NM,63,64,"Aztec, NM",Federal
SJUANTX,San Juan Police Dept.,TX,60,73,"San Juan, TX",Other
SJS,San Juan Staging,PR,59,197,"Guaynabo, PR",Hold
SLOBICA,San Luis Obispo Co Jail,CA,106,119,"San Luis Obispo, CA",Other
SLJUVCA,San Luis Obispo Co. Juven,CA,44,45,"San Luis Obispo, CA",Other
SLRDCAZ,San Luis Regional Det Center,AZ,0,197,"San Luis, AZ",Non-dedicated
SANMINM,San Miguel County Det Ctr,NM,39,82,"Las Vegas, NM",Non-dedicated
SPHOSCA,San Pedro Peninsula Hospital,CA,0,66,"San Pedro, CA",Medical
