code,latitude,longitude,N,size,N_min,N_max
TNWESDF,35.407,-89.549,12.903,3.5,12.903,23.0
TOOLEMT,48.507,-111.856,0.452,2.0,0.355,2.0
TOORANM,34.758,-106.056,147.484,6.0,146.258,147.484
TRICOIL,37.269,-89.164,174.355,6.0,174.355,191.581
TUCHOLD,32.136,-110.925,14.129,3.5,14.129,15.677
TULCOOK,36.157,-96.001,144.613,6.0,144.613,175.2
UMATCOR,45.674,-118.843,1.323,2.0,0.4,1.323
UTAHCUT,40.149,-111.659,89.387,3.5,82.667,89.387
VBHOSTX,26.174,-97.67,0.0,2.0,0.258,0.258
VENHOLD,34.206,-119.077,16.581,3.5,12.871,16.581
VIRBEVA,36.753,-76.061,0.0,2.0,2.167,46.806
VNBRNMI,42.232,-83.494,1.0,2.0,1.0,1.0
VRK,40.728,-74.006,226.387,6.0,226.387,282.226
VTDCORR,44.332,-72.755,6.613,2.0,4.2,6.613
VTSTALB,44.85,-73.133,1.0,2.0,1.0,1.129
WACLATX,29.423,-98.497,2.871,2.0,2.871,41.065
WAKECNC,35.776,-78.641,22.548,3.5,18.6,22.548
WAKULFL,30.197,-84.377,139.258,6.0,115.194,139.258
WASCONY,43.289,-73.589,3.516,2.0,3.516,6.633
WASHCUT,37.156,-113.41,13.774,3.5,8.129,13.774
WASHIAR,36.033,-94.177,14.194,3.5,14.194,21.129
WASHICO,40.157,-103.193,1.806,2.0,1.767,7.613
WASHIME,44.716,-67.459,0.0,2.0,0.161,0.161
WASHOLD,38.881,-77.233,1.774,2.0,1.774,4.484
WASHONV,39.571,-119.811,18.968,3.5,16.968,18.968
WASHTMI,42.256,-83.679,0.129,2.0,0.065,0.129
WAYNEMI,42.389,-83.043,27.161,3.5,27.161,75.097
WAYNENY,43.067,-77.032,15.71,3.5,11.233,24.871
WBATOLA,30.501,-91.214,6.484,2.0,0.774,6.567
WCCBXTX,29.429,-98.508,0.774,2.0,0.194,1.033
WCCPBFL,26.277,-80.151,585.226,9.0,575.032,585.226
WEBERUT,41.24,-111.993,84.484,3.5,84.484,98.967
WILLCTX,26.47,-97.759,1405.29,12.0,1215.484,1459.367
WILLITN,35.9,-86.885,0.29,2.0,0.161,0.29
WILLITX,30.639,-97.679,0.0,2.0,0.484,0.484
WMHOSCA,34.049,-118.218,0.097,2.0,0.097,0.71
WMLNDPA,40.303,-79.545,0.065,2.0,0.065,0.065
WOAKSTX,29.715,-95.438,0.161,2.0,0.161,1.1
WORCEMD,38.17,-75.376,67.968,3.5,65.0,67.968
WVNORTH,39.908,-80.731,0.258,2.0,0.129,0.258
WVREGWV,38.351,-81.639,0.097,2.0,0.097,0.129
WVSCENT,38.311,-81.71,10.871,3.5,10.871,14.032
WYATTRI,41.892,-71.384,41.581,3.5,41.581,185.71
YAVAPAZ,34.541,-112.466,0.0,2.0,0.032,0.032
YAVCVAZ,34.611,-111.918,0.161,2.0,0.161,0.677
YELLOMT,45.756,-108.501,0.548,2.0,0.548,1.581
YIKIMWA,46.604,-120.508,15.774,3.5,15.774,21.516
YORCOPA,39.987,-76.661,662.548,9.0,662.548,694.097
YORCOSC,34.982,-81.2,2.581,2.0,2.1,2.581
YUBAJCA,39.141,-121.587,207.935,6.0,192.903,207.935
