detention_facility_code,name,state,type_detailed,start,end,place
NYULSTC,"Ulster CF, Napanoch",NY,OTHER,0,196,"Napanoch, NY"
UMATCOR,Umatilla Co Jail,OR,IGSA,2,81,"Pendleton, OR"
UNIONNM,Union County Detention Center,NM,IGSA,9,13,"Clayton, NM"
UNIONSD,Union County Jail,SD,USMS IGA,119,196,"Elk Point, SD"
UHOSPIN,Union Hospital,IN,HOSPITAL,0,196,"Terre Haute, IN"
UMEMCNY,United Memorial Med Ctr,NY,HOSPITAL,0,196,"Batavia, NY"
UPSLHIA,Unity Point Hlth St Lukes Hosp,IA,HOSPITAL,0,196,"Cedar Rapids, IA"
UHGMCOH,Univ Hosp Geauga Med Ctr,OH,HOSPITAL,172,173,"Chardon, OH"
UNIVHNJ,University Hospital,NJ,HOSPITAL,191,193,"Newark, NJ"
UVHSATX,University Hospital,TX,HOSPITAL,167,196,"San Antonio, TX"
UMCEPTX,University Med Center of El Paso,TX,HOSPITAL,178,196,"El Paso, TX"
UMIAHFL,University Of Miami Hospital,FL,HOSPITAL,155,156,"Miami, FL"
UNMHANM,University of New Mexico Hospital,NM,HOSPITAL,190,191,"Albuquerque, NM"
UCSDHCA,Unv California San Diego Hospital,CA,HOSPITAL,166,167,"San Diego, CA"
UPSTANY,Upstate University Hospital,NY,HOSPITAL,0,196,"Syracuse, NY"
UTAHCUT,Utah County Jail,UT,IGSA,0,99,"Spanish Fork, UT"
UVALDTX,Uvalde County Jail,TX,UNKNOWN,0,196,"Uvalde, TX"
VTDCORR,VT. Dept. Of Corrections,VT,IGSA,0,41,"Waterbury, VT"
VALJUTX,Val Verde County Juvenile,TX,JUVENILE,22,23,"Del Rio, TX"
VALVETX,Val Verde Detention Center,TX,USMS IGA,14,196,"Del Rio, TX"
VBHOSTX,Valley Baptist Hospital,TX,HOSPITAL,3,196,"Harlingen, TX"
VWHMCAZ,Valleywise Health Med Ctr,AZ,HOSPITAL,177,193,"Phoenix, AZ"
